Code,BAG LABEL,Processing date,Processed by,Processing Notes
MCSC0720,BNZ-23-08-28-BC-T1-S2-LEAF-HERB,2023-09-07,NA,
MCSC0721,BNZ-23-08-28-BC-T1-S1-LEAF-WOODY,2023-09-07,BD/NA,
MCSC0722,BNZ-23-08-28-BC-T3-S9-LEAF-HERB,2023-09-07,CG/NA,
MCSC0723,BNZ-23-08-28-BC-T1-S1-LEAF-HERB,2023-09-07,CG/NA,
MCSC0724,BNZ-23-08-28-BC-T3-S9-LEAF-WOODY,2023-09-07,CG/NA,
MCSC0725,BNZ-23-08-28-BC-T2-S5-LEAF-HERB,2023-09-07,CG/NA,
MCSC0726,BNZ-23-08-28-BC-T2-S5-LEAF-WOODY,2023-09-07,CG/NA,
MCSC0727,BNZ-23-08-28-BC-T1-S2-LEAF-WOODY,2023-09-07,CG/NA,
MCSC0728,BNZ-23-08-28-BC-T3-S8-LEAF-HERB,2023-09-07,ES/NA,
MCSC0729,BNZ-23-08-28-BC-T3-S8-LEAF-WOODY,2023-09-07,NA,
MCSC0730,BNZ-23-08-28-UBC-T1-S1-LEAF-HERB,2023-09-07,ES/NA,
MCSC0731,BNZ-23-08-28-UBC-T3-S8-LEAF-HERB,2023-09-07,NA,
MCSC0732,BNZ-23-08-28-UBC-T2-S5-LEAF-HERB,2023-09-07,CG/NA,
MCSC0733,BNZ-23-08-28-UBC-T3-S8-LEAF-WOODY,2023-09-07,NA,
MCSC0734,BNZ-23-08-28-UBC-T3-S9-LEAF-WOODY,2023-09-07,NA,
MCSC0735,BNZ-23-08-28-UBC-T3-S9-LEAF-HERB,2023-09-07,NA,
MCSC0736,BNZ-23-08-28-UBC-T1-S2-LEAF-HERB,2023-09-07,CG/NA,
MCSC0737,BNZ-23-08-28-UBC-T2-S5-LEAF-WOODY,2023-09-07,NA,
MCSC0738,BNZ-23-08-28-UBC-T1-S2-LEAF-WOODY,2023-09-07,NA,
MCSC0739,BNZ-23-08-28-UBC-T1-S1-LEAF-WOODY,2023-09-07,NA,
MCSC0740,BNZ-23-08-28-BC-T2-S5-ROOT-WOODY,2023-09-08,NA,
MCSC0741,BNZ-23-08-28-BC-T1-S1-ROOT-WOODY,2023-09-08,NA,
MCSC0742,BNZ-23-08-28-BC-T3-S9-ROOT-HERB,2023-09-08,NA,
MCSC0743,BNZ-23-08-28-BC-T1-S1-ROOT-HERB,2023-09-08,NA,
MCSC0744,BNZ-23-08-28-BC-T2-S5-ROOT-HERB,2023-09-08,NA,
MCSC0745,BNZ-23-08-28-BC-T1-S2-ROOT-WOODY,2023-09-08,NA,
MCSC0746,BNZ-23-08-28-BC-T3-S8-ROOT-WOODY,2023-09-08,NA,
MCSC0747,BNZ-23-08-28-BC-T1-S2-ROOT-HERB,2023-09-08,NA,
MCSC0748,BNZ-23-08-28-BC-T3-S8-ROOT-HERB,2023-09-08,NA,
MCSC0749,BNZ-23-08-28-BC-T3-S9-ROOT-WOODY,2023-09-08,NA,
MCSC0750,BNZ-23-08-28-UBC-T1-S1-ROOT-HERB,2023-09-08,NA,
MCSC0751,BNZ-23-08-28-UBC-T2-S5-ROOT-HERB,2023-09-08,NA,
MCSC0752,BNZ-23-08-28-UBC-T3-S8-ROOT-HERB,2023-09-08,NA,
MCSC0753,BNZ-23-08-28-UBC-T3-S9-ROOT-WOODY,2023-09-08,NA,
MCSC0754,BNZ-23-08-28-UBC-T3-S8-ROOT-WOODY,2023-09-08,NA,
MCSC0755,BNZ-23-08-28-UBC-T2-S5-ROOT-WOODY,2023-09-08,NA,
MCSC0756,BNZ-23-08-28-UBC-T1-S1-ROOT-WOODY,2023-09-08,NA,
MCSC0757,BNZ-23-08-28-UBC-T1-S2-ROOT-WOODY,2023-09-08,NA,
MCSC0758,BNZ-23-08-28-UBC-T1-S2-ROOT-HERB,2023-09-08,NA,
MCSC0759,BNZ-23-08-28-UBC-T3-S9-ROOT-HERB,2023-09-08,NA,
MCSC0760,KONZA-UB-G-T2-S5-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0761,KONZA-UB-G-T3-S8-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0762,KONZA-UB-G-T3-S9-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0763,KONZA-UB-G-T1-S1-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0764,KONZA-UB-G-T1-S2-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0765,KONZA-UB-G-T1-S1-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0766,KONZA-UB-G-T1-S2-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0767,KONZA-UB-G-T3-S8-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0768,KONZA-UB-G-T3-S9-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0769,KONZA-UB-G-T2-S5-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0770,KONZA-B-G-T2-S5-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0771,KONZA-B-G-T3-S9-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0772,KONZA-B-G-T3-S9-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0773,KONZA-B-G-T3-S8-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0774,KONZA-B-G-T1-S1-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0775,KONZA-B-G-T3-S8-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0776,KONZA-B-G-T1-S1-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0777,KONZA-B-G-T1-S2-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0778,KONZA-B-G-T2-S5-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0779,KONZA-B-G-T1-S2-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0780,KONZA-UB-O-T1-S2-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0781,KONZA-UB-O-T1-S2-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0782,KONZA-UB-O-T3-S8-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0783,KONZA-UB-O-T3-S9-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0784,KONZA-UB-O-T3-S9-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0785,KONZA-UB-O-T2-S5-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0786,KONZA-UB-O-T1-S1-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0787,KONZA-UB-O-T3-S8-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0788,KONZA-UB-O-T2-S5-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0789,KONZA-UB-O-T1-S1-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0790,KONZA-B-O-T1-S2-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0791,KONZA-B-O-T1-S1-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0792,KONZA-B-O-T3-S8-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0793,KONZA-B-O-T3-S9-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0794,KONZA-B-O-T1-S2-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0795,KONZA-B-O-T2-S5-FoliarSp2-Sept2023,2023-09-14,NA,
MCSC0796,KONZA-B-O-T1-S1-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0797,KONZA-B-O-T3-S9-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0798,KONZA-B-O-T2-S5-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0799,KONZA-B-O-T3-S8-FoliarSp1-Sept2023,2023-09-14,NA,
MCSC0800,KONZA-UB-G-T1-S2-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0801,KONZA-UB-G-T2-S5-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0802,KONZA-UB-G-T2-S5-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0803,KONZA-UB-G-T3-S9-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0804,KONZA-UB-G-T1-S2-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0805,KONZA-UB-G-T3-S8-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0806,KONZA-UB-G-T3-S9-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0807,KONZA-UB-G-T3-S8-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0808,KONZA-UB-G-T1-S1-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0809,KONZA-UB-G-T1-S1-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0810,KONZA-B-G-T1-S1-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0811,KONZA-B-G-T1-S1-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0812,KONZA-B-G-T3-S9-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0813,KONZA-B-G-T2-S5-RootSp1-Sept2023,2023-09-20,MHM/NA,
MCSC0814,KONZA-B-G-T1-S2-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0815,KONZA-B-G-T3-S8-RootSp2-Sept2023,2023-09-20,MHM/NA,
MCSC0816,KONZA-B-G-T2-S5-RootSp2-Sept2023,2023-09-20,MHM/NA,
